t0,t1,t2,t3,t4,id
1.0,0.9779717,0.92551535,0.86928725,0.768859,3042
1.0,0.97836626,0.9378376,0.88148206,0.8259071,668
1.0,0.9880299,0.95261836,0.9087642,0.81677026,1863
1.0,0.99944645,0.9893159,0.97316426,0.9280103,346
1.0,0.87734085,0.784946,0.70399624,0.59013814,195
1.0,0.9783355,0.9406292,0.86311275,0.7856293,1460
1.0,0.99792266,0.98127806,0.9645535,0.9218414,3005
1.0,0.9977201,0.9791959,0.9581625,0.908748,3061
1.0,0.98844534,0.95745677,0.91152465,0.8240222,2038
1.0,0.98786455,0.9519154,0.90699875,0.82970065,2239
1.0,0.9526098,0.8905354,0.80436355,0.7187112,2474
1.0,0.9710226,0.91997296,0.87155086,0.78223836,4978
1.0,0.93584484,0.86610425,0.8031337,0.7008324,4730
1.0,0.996645,0.9788451,0.9575036,0.9031607,726
1.0,0.97700804,0.92105645,0.8727446,0.77395254,4494
1.0,0.98162216,0.9396483,0.87094736,0.80607754,2659
1.0,0.965455,0.91191375,0.8469687,0.74704534,2161
1.0,0.8999053,0.81662357,0.7057989,0.6123503,655
1.0,0.95278573,0.86664194,0.820708,0.72046435,2372
1.0,0.99699676,0.9794065,0.95908475,0.89304745,624
1.0,0.9762254,0.9327122,0.84087485,0.7659655,2400
1.0,0.94138217,0.8597084,0.7804093,0.6918135,4330
1.0,0.9746374,0.917592,0.8502834,0.7687295,4471
1.0,0.9273209,0.82563597,0.7659722,0.67935354,4490
1.0,0.98300827,0.946894,0.8873826,0.8032528,642
1.0,0.8855483,0.80499053,0.72379225,0.6303977,2375
1.0,0.95266473,0.88878053,0.8052933,0.73736554,1510
1.0,0.98979604,0.95678014,0.9187941,0.82823837,3627
1.0,0.93926597,0.8702607,0.7765624,0.6765037,4575
1.0,0.8841641,0.8021908,0.70622385,0.6185201,262
1.0,0.96767884,0.90466917,0.8459719,0.7576167,896
1.0,0.9545797,0.8886754,0.8137208,0.7152592,2331
1.0,0.9830629,0.9520674,0.87515026,0.79821235,712
1.0,0.88318425,0.77199465,0.69080645,0.5819643,1911
1.0,0.87329197,0.7722625,0.6907329,0.57516795,4233
1.0,0.9686642,0.90875876,0.8657959,0.7646506,4801
1.0,0.9654178,0.9054277,0.8443552,0.7301584,2658
1.0,0.9926268,0.96489984,0.9279948,0.8519293,719
1.0,0.9584742,0.894336,0.8271212,0.7245549,1945
1.0,0.9926952,0.96932864,0.9087997,0.84714913,2992
1.0,0.9024683,0.8129081,0.7234716,0.6239849,158
1.0,0.8200118,0.6779677,0.61337507,0.5050327,627
1.0,0.98685116,0.9549022,0.90456057,0.85158926,399
1.0,0.95324594,0.87493026,0.8331714,0.71519953,550
1.0,0.97428846,0.9245091,0.8664332,0.7874612,2175
1.0,0.99105364,0.9581822,0.9246558,0.86162627,3629
1.0,0.8901934,0.7918744,0.7264361,0.62388766,4427
1.0,0.79303634,0.64684564,0.57572204,0.4753712,2116
1.0,0.99721515,0.9758373,0.9581989,0.90590787,4220
1.0,0.93937486,0.8610114,0.79386127,0.6716962,1067
1.0,0.9301207,0.85051733,0.7771973,0.69614273,3062
1.0,0.97313607,0.9044118,0.85887474,0.76368153,3017
1.0,0.9610946,0.887487,0.82995754,0.7137545,187
1.0,0.9450755,0.87695557,0.8202288,0.72438437,4731
1.0,0.9589589,0.8874667,0.8164096,0.7338356,3530
1.0,0.95896155,0.8856691,0.81723505,0.7128411,1166
1.0,0.8445836,0.7503766,0.6684127,0.5661536,2190
1.0,0.99650687,0.9779443,0.9533589,0.90034044,494
1.0,0.9764015,0.92065024,0.87604237,0.7847938,4290
1.0,0.98783404,0.95510954,0.9133398,0.824302,4524
1.0,0.99108976,0.955098,0.91407436,0.8497155,2022
1.0,0.9828504,0.94362646,0.9027884,0.8176194,138
1.0,0.9984969,0.9855386,0.9692439,0.92006594,1089
